n,t,Term
LiJun Shan,modelling language;mutation operator;data mutation;test data;descriptive semantics;multi-agent system;agent-oriented modelling language;experiment data;input data;formal specification,"['model', 'languag', 'mutat', 'oper', 'data', 'mutat', 'test', 'data', 'descript', 'semant', 'multi-ag', 'system', 'agent-ori', 'model', 'languag', 'experi', 'data', 'input', 'data', 'formal', 'specif']"
Tun-Wen Pai,proposed system;protein family;protein folding;internal repeat;route constraint;multiple sequence alignment;proposed method;significant SSR pattern;TATA-binding protein;enzyme-inhibitor protein complex,"['propos', 'system', 'protein', 'famili', 'protein', 'fold', 'intern', 'repeat', 'rout', 'constraint', 'multipl', 'sequenc', 'align', 'propos', 'method', 'signific', 'ssr', 'pattern', 'tata-bind', 'protein', 'enzyme-inhibitor', 'protein', 'complex']"
Peter A. Beling,object recognition;encoding size;COTS software;algebraic integer;input coefficient;multiple instance;polynomial algorithm;financial market;market participant;bit size,"['object', 'recognit', 'encod', 'size', 'cot', 'softwar', 'algebra', 'integ', 'input', 'coeffici', 'multipl', 'instanc', 'polynomi', 'algorithm', 'financi', 'market', 'market', 'particip', 'bit', 'size']"
Varun Grover,information technology;information system;IT Investment;strategic information system;chief information officer;information disclosure;information generation;information relevance;information systems research;information technology investment,"['inform', 'technolog', 'inform', 'system', 'it', 'invest', 'strateg', 'inform', 'system', 'chief', 'inform', 'offic', 'inform', 'disclosur', 'inform', 'gener', 'inform', 'relev', 'inform', 'system', 'research', 'inform', 'technolog', 'invest']"
Adamantia G. Pateli,service innovation;service innovation partnership;business model;recent research;business model research;challenging research domain;empirical research;existing research;future research;research framework,"['servic', 'innov', 'servic', 'innov', 'partnership', 'busi', 'model', 'recent', 'research', 'busi', 'model', 'research', 'challeng', 'research', 'domain', 'empir', 'research', 'exist', 'research', 'futur', 'research', 'research', 'framework']"
Luciano Bononi,simulation result;performance evaluation;MAC protocol;wireless system;simulation framework;simulation middleware;wireless network;realistic simulation;simulation accuracy;simulation architecture,"['simul', 'result', 'perform', 'evalu', 'mac', 'protocol', 'wireless', 'system', 'simul', 'framework', 'simul', 'middlewar', 'wireless', 'network', 'realist', 'simul', 'simul', 'accuraci', 'simul', 'architectur']"
Witold Dzwinel,blood flow;parallel implementation;cell life-cycle;GCA model;particle model;particle dynamic;tumor growth;1-D model;CA model;CxA model,"['blood', 'flow', 'parallel', 'implement', 'cell', 'life-cycl', 'gca', 'model', 'particl', 'model', 'particl', 'dynam', 'tumor', 'growth', '1-d', 'model', 'ca', 'model', 'cxa', 'model']"
F. Pernuš,registration method;proposed method;MR image;X-ray image;tablet image analysis;similarity measure;image registration;CT image;grey-level image;image acquisition,"['registr', 'method', 'propos', 'method', 'mr', 'imag', 'x-ray', 'imag', 'tablet', 'imag', 'analysi', 'similar', 'measur', 'imag', 'registr', 'ct', 'imag', 'grey-level', 'imag', 'imag', 'acquisit']"
Michael Schrefl,business process;data warehouse;physical data independence;web page;web service;business rule;business analyst;active data warehouse;data mart;business case,"['busi', 'process', 'data', 'warehous', 'physic', 'data', 'independ', 'web', 'page', 'web', 'servic', 'busi', 'rule', 'busi', 'analyst', 'activ', 'data', 'warehous', 'data', 'mart', 'busi', 'case']"
Thomas Sødring,interconnection network;SIGIR conference;management mechanism;twenty-five year;system utilization;co-authorship analysis;content analysis;key metrics;Melody Extraction EngineThis paper;SIGIR conference paper,"['interconnect', 'network', 'sigir', 'confer', 'manag', 'mechan', 'twenty-f', 'year', 'system', 'util', 'co-authorship', 'analysi', 'content', 'analysi', 'key', 'metric', 'melodi', 'extract', 'enginethi', 'paper', 'sigir', 'confer', 'paper']"
Blaise W. Liffick,Assistive technology;HCI Approach;2-year project;National Science Foundation;Undergraduate Computer Science Curriculum;Integrating Assistive Technology;senior Computer Science major;basic computer science principle;computer science;computer science point,"['assist', 'technolog', 'hci', 'approach', '2-year', 'project', 'nation', 'scienc', 'foundat', 'undergradu', 'comput', 'scienc', 'curriculum', 'integr', 'assist', 'technolog', 'senior', 'comput', 'scienc', 'major', 'basic', 'comput', 'scienc', 'principl', 'comput', 'scienc', 'comput', 'scienc', 'point']"
Krzysztof Sierszecki,embedded application;embedded system;design model;embedded actor;embedded control system;embedded control application;embedded software;COMDES design model;predictable embedded system;COMDES framework,"['embed', 'applic', 'embed', 'system', 'design', 'model', 'embed', 'actor', 'embed', 'control', 'system', 'embed', 'control', 'applic', 'embed', 'softwar', 'comd', 'design', 'model', 'predict', 'embed', 'system', 'comd', 'framework']"
Zhiguang Shan,mobile agent;mesh network;resource scheduling;resource management system;high performance;performance analysis;approximate analysis technique;Web server;SHLPN model;existing fault-tolerant model,"['mobil', 'agent', 'mesh', 'network', 'resourc', 'schedul', 'resourc', 'manag', 'system', 'high', 'perform', 'perform', 'analysi', 'approxim', 'analysi', 'techniqu', 'web', 'server', 'shlpn', 'model', 'exist', 'fault-toler', 'model']"
Zhe Shan,business process;Workflow View;message adaptation;business partner;business service;workflow deputy model;advanced business transaction;appropriate business partner;business artifact;business artifact-centric modeling,"['busi', 'process', 'workflow', 'view', 'messag', 'adapt', 'busi', 'partner', 'busi', 'servic', 'workflow', 'deputi', 'model', 'advanc', 'busi', 'transact', 'appropri', 'busi', 'partner', 'busi', 'artifact', 'busi', 'artifact-centr', 'model']"
Borys Omelayenko,semantic web;business science;product catalog;B2B electronic commerce;B2B marketplace;service-related term;information science;product ontology;content standard;B2B information integration framework,"['semant', 'web', 'busi', 'scienc', 'product', 'catalog', 'b2b', 'electron', 'commerc', 'b2b', 'marketplac', 'service-rel', 'term', 'inform', 'scienc', 'product', 'ontolog', 'content', 'standard', 'b2b', 'inform', 'integr', 'framework']"
Jay K. Strosnider,real-time system;real-time application;real-time scheduling theory;real-time task;real-time operating system;different commercial real-time operating;different real-time task set;hard real-time system;heterogeneous real-time systemsA framework;intelligent real-time control system,"['real-tim', 'system', 'real-tim', 'applic', 'real-tim', 'schedul', 'theori', 'real-tim', 'task', 'real-tim', 'oper', 'system', 'differ', 'commerci', 'real-tim', 'oper', 'differ', 'real-tim', 'task', 'set', 'hard', 'real-tim', 'system', 'heterogen', 'real-tim', 'systemsa', 'framework', 'intellig', 'real-tim', 'control', 'system']"
Tomonari Kamba,user behavior;user profile;life log device;registered PC user;system user;user access;user profile management agentA;personalized information;personalized newspaper;search result,"['user', 'behavior', 'user', 'profil', 'life', 'log', 'devic', 'regist', 'pc', 'user', 'system', 'user', 'user', 'access', 'user', 'profil', 'manag', 'agenta', 'person', 'inform', 'person', 'newspap', 'search', 'result']"
Sandeep Tata,structured data;sequence data;data access latency;data integration;data source;suffix tree;SQL-like data;big data;biological sequence data;cache data object,"['structur', 'data', 'sequenc', 'data', 'data', 'access', 'latenc', 'data', 'integr', 'data', 'sourc', 'suffix', 'tree', 'sql-like', 'data', 'big', 'data', 'biolog', 'sequenc', 'data', 'cach', 'data', 'object']"
E. Wes Bethel,AMR data;base data;bin-based data cluster;particle data extension;query data;simulation data;visual data analysis;accelerator simulation data;clustering-based data classification;cross-species alignment data,"['amr', 'data', 'base', 'data', 'bin-bas', 'data', 'cluster', 'particl', 'data', 'extens', 'queri', 'data', 'simul', 'data', 'visual', 'data', 'analysi', 'acceler', 'simul', 'data', 'clustering-bas', 'data', 'classif', 'cross-speci', 'align', 'data']"
Peter Zilahy Ingerman,initial control processor;assembly meta-language;assembly language;primitive command;augmented control processor;control processor;primitive undefined processor;suggestedAn assembly language;universal assembly mapping languageTHE;acceptable command,"['initi', 'control', 'processor', 'assembl', 'meta-languag', 'assembl', 'languag', 'primit', 'command', 'augment', 'control', 'processor', 'control', 'processor', 'primit', 'undefin', 'processor', 'suggestedan', 'assembl', 'languag', 'univers', 'assembl', 'map', 'languageth', 'accept', 'command']"
H. Altay Güvenir,association rule;classification rule;regression problem;rules stream;continuous feature;translation template;instance-based regression;rule-based regression;simple linear regression line;benefit-maximizing classification problem,"['associ', 'rule', 'classif', 'rule', 'regress', 'problem', 'rule', 'stream', 'continu', 'featur', 'translat', 'templat', 'instance-bas', 'regress', 'rule-bas', 'regress', 'simpl', 'linear', 'regress', 'line', 'benefit-maxim', 'classif', 'problem']"
Peter Bühlmann,simulated data;Twin Boosting;biclustering method;gene expression data;high-dimensional data;interventional data;observational data;supplementary data;gene group;gene set testing,"['simul', 'data', 'twin', 'boost', 'biclust', 'method', 'gene', 'express', 'data', 'high-dimension', 'data', 'intervent', 'data', 'observ', 'data', 'supplementari', 'data', 'gene', 'group', 'gene', 'set', 'test']"
Jeffrey B Remmel,stable model;logic programming;logic program;finite predicate logic program;infinite set;closed set;continuous function;recursive logic program;recursive propositional logic program;stable logic semantics,"['stabl', 'model', 'logic', 'program', 'logic', 'program', 'finit', 'predic', 'logic', 'program', 'infinit', 'set', 'close', 'set', 'continu', 'function', 'recurs', 'logic', 'program', 'recurs', 'proposit', 'logic', 'program', 'stabl', 'logic', 'semant']"
K. P. Fahnrich,Mobile Computing;wireless communication;wireless network;ACM IWCMC;information technology;information theory;technical session;future research;large cooperative European research;novel basic research idea,"['mobil', 'comput', 'wireless', 'commun', 'wireless', 'network', 'acm', 'iwcmc', 'inform', 'technolog', 'inform', 'theori', 'technic', 'session', 'futur', 'research', 'larg', 'cooper', 'european', 'research', 'novel', 'basic', 'research', 'idea']"
Ginalber L. O. Serra,fuzzy controller;fuzzy model;fuzzy set;Mamdani fuzzy inference system;Takagi-Sugeno fuzzy model;fuzzy PI controller;fuzzy Takagi-Sugeno;fuzzy controller parameter;fuzzy frequency response;fuzzy logic,"['fuzzi', 'control', 'fuzzi', 'model', 'fuzzi', 'set', 'mamdani', 'fuzzi', 'infer', 'system', 'takagi-sugeno', 'fuzzi', 'model', 'fuzzi', 'pi', 'control', 'fuzzi', 'takagi-sugeno', 'fuzzi', 'control', 'paramet', 'fuzzi', 'frequenc', 'respons', 'fuzzi', 'logic']"
Dov Dori,Object-Process Methodology;complex system;ERP system;OPM model;conceptual model;system model;design pattern;Web service;CAM system;operational system,"['object-process', 'methodolog', 'complex', 'system', 'erp', 'system', 'opm', 'model', 'conceptu', 'model', 'system', 'model', 'design', 'pattern', 'web', 'servic', 'cam', 'system', 'oper', 'system']"
P. S. Grover,software component;software system;component-based system;AO software system;software development;software development community;software metrics;software quality;traditional software product;aspect-oriented software quality model,"['softwar', 'compon', 'softwar', 'system', 'component-bas', 'system', 'ao', 'softwar', 'system', 'softwar', 'develop', 'softwar', 'develop', 'commun', 'softwar', 'metric', 'softwar', 'qualiti', 'tradit', 'softwar', 'product', 'aspect-ori', 'softwar', 'qualiti', 'model']"
Brian Toonen,Message Passing Interface;Grid-enabled implementation;application performance;performance measurement;one-sided communication;good performance;mpi cross-site run performance;overall performance;performance close;performance loss,"['messag', 'pass', 'interfac', 'grid-en', 'implement', 'applic', 'perform', 'perform', 'measur', 'one-sid', 'commun', 'good', 'perform', 'mpi', 'cross-sit', 'run', 'perform', 'overal', 'perform', 'perform', 'close', 'perform', 'loss']"
W. D. Grover,mesh-restorable network;ring-based network;transport network;p-cycle network;corresponding mesh network;existing p-cycle network design;mesh-restorable transport network;network operator;optical transport network;span-restorable mesh network,"['mesh-restor', 'network', 'ring-bas', 'network', 'transport', 'network', 'p-cycl', 'network', 'correspond', 'mesh', 'network', 'exist', 'p-cycl', 'network', 'design', 'mesh-restor', 'transport', 'network', 'network', 'oper', 'optic', 'transport', 'network', 'span-restor', 'mesh', 'network']"
S. Makrogiannis,L-G graph;SPN graph;color image;Object Recognition;human skin color;L-G Database;L-G modeling;aerial image;fMRI image;certain task,"['l-g', 'graph', 'spn', 'graph', 'color', 'imag', 'object', 'recognit', 'human', 'skin', 'color', 'l-g', 'databas', 'l-g', 'model', 'aerial', 'imag', 'fmri', 'imag', 'certain', 'task']"
Miguel Filgueiras,Artificial Intelligence;Portuguese Conference;Linear Constraints;Linear Diophantine Equations;Linear Diophantine EquationsAn Algorithm;Natural NumbersSolving Linear Constraints;ParsingSolving Linear Diophantine;Artificial Intelligence Guarda;Artificial IntelligenceFast Methods;linear Diophantine,"['artifici', 'intellig', 'portugues', 'confer', 'linear', 'constraint', 'linear', 'diophantin', 'equat', 'linear', 'diophantin', 'equationsan', 'algorithm', 'natur', 'numberssolv', 'linear', 'constraint', 'parsingsolv', 'linear', 'diophantin', 'artifici', 'intellig', 'guarda', 'artifici', 'intelligencefast', 'method', 'linear', 'diophantin']"
